date,close,v9_ad_osc,future_return_5d
2023-10-16,3.413,,-0.043656607090536204
2023-10-17,3.425,,-0.045547445255474384
2023-10-18,3.397,,-0.03179275831616124
2023-10-19,3.32,,-0.005421686746987842
2023-10-20,3.302,,0.016353725015142206
2023-10-23,3.264,,0.03308823529411775
2023-10-24,3.269,,0.02906087488528586
2023-10-25,3.289,,0.022195196108239612
2023-10-26,3.302,,0.01302241066020593
2023-10-27,3.356,,0.005065554231227676
2023-10-30,3.372,,0.014531435349940613
2023-10-31,3.364,,0.013674197384066611
2023-11-01,3.362,,0.011005353955978459
2023-11-02,3.345,,0.01704035874439458
2023-11-03,3.373,,0.0005929439667951009
2023-11-06,3.421,,-0.014907921660333168
2023-11-07,3.41,,-0.011730205278592365
2023-11-08,3.399,,-0.0011768167107972793
2023-11-09,3.402,,-0.012639623750734907
2023-11-10,3.375,,-0.00622222222222224
2023-11-13,3.37,,-0.0014836795252225476
2023-11-14,3.37,,0.0
2023-11-15,3.395,,-0.018851251840942607
2023-11-16,3.359,,-0.002679368859779707
2023-11-17,3.354,,-0.008646392367322564
2023-11-20,3.365,,-0.019019316493313565
2023-11-21,3.37,,-0.01928783382789312
2023-11-22,3.331,,-0.015911137796457475
2023-11-23,3.35,,-0.020298507462686577
2023-11-24,3.325,,-0.017142857142857237
2023-11-27,3.301,,-0.017267494698576136
2023-11-28,3.305,,-0.03842662632375193
2023-11-29,3.278,,-0.028981086028065928
2023-11-30,3.282,,-0.03290676416819016
2023-12-01,3.268,,-0.026621787025703725
2023-12-04,3.244,,-0.012022194821208476
2023-12-05,3.178,,0.011013215859030812
2023-12-06,3.183,,-0.00879673264216152
2023-12-07,3.174,,-0.011027095148078203
2023-12-08,3.181,1243433.365519979,-0.015403961018547574
2023-12-11,3.205,841745.5966493841,-0.027145085803432223
2023-12-12,3.213,710313.8353961706,-0.028944911297852483
2023-12-13,3.155,318742.6781112049,-0.02091917591125192
2023-12-14,3.139,-187637.13001588732,-0.006052883083784599
2023-12-15,3.132,-1282007.22803309,-0.0019157088122606636
2023-12-18,3.118,-2532620.652988903,0.005452212957023805
2023-12-19,3.12,-3337621.999936631,-0.0016025641025640969
2023-12-20,3.089,-4301752.542591421,0.011654257041113558
2023-12-21,3.12,-5136102.743057769,0.028525641025640924
2023-12-22,3.126,-5493762.624065995,0.029750479846449185
2023-12-25,3.135,-5623388.4798893295,0.0121212121212122
2023-12-26,3.115,-5900757.7458317205,0.015409309791332149
2023-12-27,3.125,-6008252.155334713,0.0025599999999998957
2023-12-28,3.209,-5953036.69855652,-0.02898099096291684
2023-12-29,3.219,-5630608.7989722695,-0.04659832246039142
2024-01-02,3.173,-4983253.143126167,-0.030255278915852557
2024-01-03,3.163,-3844637.462717563,-0.03224786595004736
2024-01-04,3.133,-2686019.7225524858,-0.016916693265240923
2024-01-05,3.116,-1805542.2577143405,-0.015083440308087392
2024-01-08,3.069,-1304557.8157960996,-0.0013033561420657813
2024-01-09,3.077,-1102526.5820587613,0.003249918752031178
2024-01-10,3.061,-1341074.5769392382,-0.016007840574975507
2024-01-11,3.08,-1258805.5041351002,-0.007467532467532512
2024-01-12,3.069,-1243993.1332653873,-0.001629195177582199
2024-01-15,3.065,-740287.9265682753,-0.022838499184339223
2024-01-16,3.087,322205.77110382915,-0.02267573696145131
2024-01-17,3.012,853773.3029582854,0.01859229747675961
2024-01-18,3.057,2664594.9970602077,0.021916912005234046
2024-01-19,3.064,4642913.082279808,0.017624020887728298
2024-01-22,2.995,5731695.0746693,0.031051752921535947
2024-01-23,3.017,6718040.526281722,0.004971826317534012
2024-01-24,3.068,8478850.23489466,-0.018578878748370276
2024-01-25,3.124,10255975.482661795,-0.03745198463508326
2024-01-26,3.118,11036260.654387038,-0.04522129570237332
2024-01-29,3.088,11016933.80776991,-0.02946891191709855
2024-01-30,3.032,10830962.94400258,0.02242744063324542
2024-01-31,3.011,10415753.049225647,0.039189637994021975
2024-02-01,3.007,10023259.250009762,0.047888260724974874
2024-02-02,2.977,10221610.21292384,0.06751763520322474
2024-02-05,2.997,11570277.303608097,0.06439773106439772
2024-02-06,3.1,13504163.643932052,0.04451612903225799
2024-02-07,3.129,16675667.26415398,0.043144774688398835
2024-02-08,3.151,20060534.4206517,0.03681370993335453
2024-02-19,3.178,23946908.894297726,0.016991818753933297
2024-02-20,3.19,27938114.16483707,0.02601880877742957
2024-02-21,3.238,31140884.30634227,-0.00030883261272385276
2024-02-22,3.264,35206751.3253765,0.008578431372548989
2024-02-23,3.267,36947800.19895618,0.01591674318947045
2024-02-26,3.232,37745634.65615103,0.025990099009900902
2024-02-27,3.273,40372237.57355064,0.021998166819431786
2024-02-28,3.237,42183471.56799057,0.029039233858510816
2024-02-29,3.292,43153004.179977074,0.0060753341433779084
2024-03-01,3.319,43705789.40557439,0.0009038867128654537
2024-03-04,3.316,44938596.25050388,0.01628468033775632
2024-03-05,3.345,47415223.840111025,0.008968609865470878
2024-03-06,3.331,50304509.79798443,0.006904833383368336
2024-03-07,3.312,53043311.074300684,0.00875603864734309
2024-03-08,3.322,55923718.616983145,0.008428657435279874
2024-03-11,3.37,58478603.350876,0.003264094955489627
2024-03-12,3.375,59923234.62217897,-0.005037037037037062
2024-03-13,3.354,60387258.69821674,0.0020870602265952165
2024-03-14,3.341,59032104.741683185,0.005387608500448948
2024-03-15,3.35,56975339.66574912,-0.006567164179104523
2024-03-18,3.381,54310891.196033716,-0.02129547471162363
2024-03-19,3.358,51108918.41917032,-0.011316259678380014
2024-03-20,3.361,48210104.94744478,-0.02350490925319848
2024-03-21,3.359,44487589.0711502,-0.01786245906519801
2024-03-22,3.328,41870688.423914,-0.00390625
2024-03-25,3.309,40024721.00994383,0.01934119069205198
2024-03-26,3.32,37002851.342449665,0.012349397590361466
2024-03-27,3.282,35248039.71559551,0.01980499695307736
2024-03-28,3.299,33373085.868460163,0.005759321006365559
2024-03-29,3.315,31628381.218276992,-0.0009049773755656076
2024-04-01,3.373,29842702.830208123,-0.025793062555588553
2024-04-02,3.361,26875558.07953985,-0.023207378756322616
2024-04-03,3.347,23941189.73003252,-0.027487302061547703
2024-04-08,3.318,21207658.797605872,0.003013863773357439
2024-04-09,3.312,18194379.92006427,-0.004830917874396157
2024-04-10,3.286,14849301.885492772,0.01704199634814363
2024-04-11,3.283,11798930.814644068,0.019798964361864124
2024-04-12,3.255,9226567.303927928,0.019969278033794113
2024-04-15,3.328,7813371.475712419,-0.004507211538461453
2024-04-16,3.296,6463336.768709034,-0.0024271844660194164
2024-04-17,3.342,5274456.464666843,-0.011968880909634994
2024-04-18,3.348,4449215.475064367,-0.010752688172043001
2024-04-19,3.32,3604620.4112659693,0.012650602409638667
2024-04-22,3.313,3055651.3892074823,0.027769393299124534
2024-04-23,3.288,2332000.736427635,0.030109489051094895
2024-04-24,3.302,1775127.839424789,0.04088431253785574
2024-04-25,3.312,1312749.896497935,0.03834541062801944
2024-04-26,3.362,841200.716587007,0.01427721594289122
2024-04-29,3.405,866635.9192157984,0.011747430249632984
2024-04-30,3.387,664511.6964001656,0.017714791851195733
2024-05-06,3.437,159399.4278948605,0.0020366598778005507
2024-05-07,3.439,220807.52864474058,-0.00029078220412903644
2024-05-08,3.41,-39202.75160086155,0.0005865102639295294
2024-05-09,3.445,-108588.83127310872,-0.006095791001451301
2024-05-10,3.447,36930.45988795161,0.005221932114882533
2024-05-13,3.444,607528.9180112481,0.008420441347270602
2024-05-14,3.438,1176806.2138361037,0.006689936009307562
2024-05-15,3.412,1781876.0061070323,0.01670574443141848
2024-05-16,3.424,1840187.3313195705,0.002336448598130758
2024-05-17,3.465,2395092.137295127,-0.02135642135642135
2024-05-20,3.473,2681077.8630717695,-0.014972646127267453
2024-05-21,3.461,2995354.3419124484,-0.01820283155157465
2024-05-22,3.469,3473581.301735997,-0.020178725857595836
2024-05-23,3.432,4007724.3756227195,-0.013694638694638717
2024-05-24,3.391,4669483.003322154,-0.005897965202005362
2024-05-27,3.421,5133384.154962182,-0.013154048523823403
2024-05-28,3.398,5515026.121035576,0.0008828722778104758
2024-05-29,3.399,5127376.048485041,-0.003236245954692629
2024-05-30,3.385,4353816.24566859,0.0008862629246677578
2024-05-31,3.371,3883005.5680743456,-0.001779887273805958
2024-06-03,3.376,3705855.98414135,-0.010663507109004766
2024-06-04,3.401,3459440.239553869,-0.0191120258747427
2024-06-05,3.388,3311149.1594278514,-0.019185360094451043
2024-06-06,3.388,2709494.3538149297,-0.013282172373081491
2024-06-07,3.365,1880722.0832020342,-0.009509658246656727
2024-06-11,3.34,816101.6383869648,0.0011976047904191933
2024-06-12,3.336,-142449.9864280522,-0.0005995203836929308
2024-06-13,3.323,-1002147.0057451129,-0.0036111947035810665
2024-06-14,3.343,-1456911.831272602,-0.011367035596769326
2024-06-17,3.333,-2375998.3624819815,-0.013501350135013634
2024-06-18,3.344,-3032468.309145838,-0.023026315789473673
2024-06-19,3.334,-3843852.6261874735,-0.013797240551889689
2024-06-20,3.311,-4895205.658647329,-0.012684989429175397
2024-06-21,3.305,-5694463.434880644,-0.008774583963691462
2024-06-24,3.288,-6629171.785991162,0.0006082725060827521
2024-06-25,3.267,-7819602.085442185,0.005509641873278293
2024-06-26,3.288,-8644715.283661664,-0.0027372262773722733
2024-06-27,3.269,-9251029.215339094,-0.0015295197308046182
2024-06-28,3.276,-9592971.024162054,-0.00885225885225882
2024-07-01,3.29,-9640482.277429461,-0.02036474164133739
2024-07-02,3.285,-9880367.555401862,-0.007610350076103556
2024-07-03,3.279,-10241946.409125596,-0.008234217749313877
2024-07-04,3.264,-10827761.945191175,0.01041666666666674
2024-07-05,3.247,-11020638.542419583,0.018786572220511166
2024-07-08,3.223,-11126655.147147924,0.02854483400558494
2024-07-09,3.26,-10972159.442237377,0.024539877300613577
2024-07-10,3.252,-10997390.989258647,0.02859778597785989
2024-07-11,3.298,-10898537.088399798,0.020618556701030855
2024-07-12,3.308,-10985181.999340326,0.024486094316807705
2024-07-15,3.315,-10714515.269170567,0.013574660633484115
2024-07-16,3.34,-10166155.320069447,-0.014970059880239472
2024-07-17,3.345,-9435749.334436193,-0.023019431988042016
2024-07-18,3.366,-8022478.52965048,-0.03505644682115272
2024-07-19,3.389,-6500111.697999477,-0.03717910888167597
2024-07-22,3.36,-4555392.752663761,-0.03482142857142856
2024-07-23,3.29,-2539335.2312660217,-0.02127659574468077
2024-07-24,3.268,-1071788.9658135474,0.008873929008567982
2024-07-25,3.248,668917.978839457,0.00738916256157629
2024-07-26,3.263,2609446.1428518593,-0.008274593931964391
2024-07-29,3.243,3957419.5817180276,-0.014184397163120477
2024-07-30,3.22,5453214.983837992,-0.0071428571428572285
2024-07-31,3.297,7446347.09413147,-0.03245374582954208
2024-08-01,3.272,9834443.911470741,-0.023838630806845895
2024-08-02,3.236,11729833.858810008,-0.016687268232385755
2024-08-05,3.197,13310611.512791038,-0.005943071629652796
2024-08-06,3.197,14550459.994722635,-0.0043791054113231365
2024-08-07,3.19,15952146.416106164,-0.009717868338558033
2024-08-08,3.194,17006546.53532982,0.0009392611145899732
2024-08-09,3.182,17846910.401023388,0.005342551854179645
2024-08-12,3.178,18299640.417485118,0.009439899307740696
2024-08-13,3.183,18248759.92803043,0.002827521206409056
2024-08-14,3.159,17923658.740535438,0.005698005698005826
2024-08-15,3.197,16856059.065508276,-0.009071004066312116
2024-08-16,3.199,14770829.603501976,-0.005314160675210955
2024-08-19,3.208,12415613.39078477,-0.007793017456359186
2024-08-20,3.192,10330848.526142895,-0.008145363408521344
2024-08-21,3.177,8671969.956995249,-0.009757632987094755
2024-08-22,3.168,6716741.58124581,-0.010101010101010055
2024-08-23,3.182,4453179.492013961,-0.0003142677561281948
2024-08-26,3.183,2641378.8776913285,-0.01947847942192893
2024-08-27,3.166,761805.5448768139,-0.010423246999368252
2024-08-28,3.146,-2000670.8833247423,-0.010807374443738027
2024-08-29,3.136,-4895495.567557126,-0.0054209183673469274
2024-08-30,3.181,-7139567.584814221,-0.028292989625903764
2024-09-02,3.121,-8784379.866345465,-0.02274911887215647
2024-09-03,3.133,-10125399.415141493,-0.02649218001915099
2024-09-04,3.112,-11584784.482386678,-0.022172236503856024
2024-09-05,3.119,-12887782.766091526,-0.027893555626803512
2024-09-06,3.091,-13982043.181755424,-0.023940472339048946
2024-09-09,3.05,-14937877.209204227,-0.0075409836065573055
2024-09-10,3.05,-15768161.445301205,0.0013114754098360049
2024-09-11,3.043,-16301867.136270016,0.006572461386789463
2024-09-12,3.032,-17018397.13997042,0.013192612137203241
2024-09-13,3.017,-17317046.417004213,0.06595956247928414
2024-09-18,3.027,-17463126.100715637,0.07796498183019485
2024-09-19,3.054,-17488866.52871336,0.1227897838899803
2024-09-20,3.063,-17163540.501187816,0.19425399934704535
2024-09-23,3.072,-16597001.303070277,0.30924479166666674
2024-09-24,3.216,-15057916.467096865,0.3062810945273631
2024-09-25,3.263,-14386543.33201857,0.16794361017468584
2024-09-26,3.429,-12576254.852775812,0.13006707494896474
2024-09-27,3.658,-9821884.85720788,0.02952433023510115
2024-09-30,4.022,-5437689.174232513,-0.04798607657881648
2024-10-08,4.201,-1687683.2144934535,-0.11449654844084733
2024-10-09,3.811,908602.6127970219,-0.03043820519548679
