date,open,high,low,close,volume
2024-11-20,0.722,0.719,0.722,0.71,1380908.0
2024-11-21,0.731,0.718,0.734,0.713,1674842.0
2024-11-22,0.716,0.687,0.716,0.686,3026420.0
2024-11-25,0.686,0.689,0.692,0.68,1002156.0
2024-11-26,0.69,0.688,0.706,0.686,1328559.0
2024-11-27,0.689,0.702,0.703,0.678,1468511.0
2024-11-28,0.7,0.699,0.711,0.698,1857228.0
2024-11-29,0.699,0.709,0.715,0.695,1454213.0
2024-12-02,0.7,0.714,0.714,0.689,1625147.0
2024-12-03,0.714,0.712,0.719,0.706,1379535.0
2024-12-04,0.711,0.694,0.712,0.691,1318740.0
2024-12-05,0.694,0.695,0.695,0.688,1859086.0
2024-12-06,0.694,0.699,0.699,0.677,3431039.0
2024-12-09,0.696,0.688,0.696,0.683,2052322.0
2024-12-10,0.704,0.689,0.709,0.687,3086741.0
2024-12-11,0.688,0.692,0.695,0.685,1144716.0
2024-12-12,0.692,0.695,0.697,0.686,1814880.0
2024-12-13,0.693,0.676,0.693,0.676,1290366.0
2024-12-16,0.676,0.667,0.678,0.662,1166128.0
2024-12-17,0.667,0.663,0.67,0.66,1079953.0
2024-12-18,0.663,0.661,0.665,0.658,1080057.0
2024-12-19,0.655,0.66,0.66,0.649,1188560.0
2024-12-20,0.66,0.657,0.662,0.654,1145880.0
2024-12-23,0.657,0.655,0.668,0.654,1693959.0
2024-12-24,0.656,0.667,0.67,0.656,1617713.0
2024-12-25,0.672,0.661,0.672,0.656,1802790.0
2024-12-26,0.662,0.66,0.663,0.657,1070925.0
2024-12-27,0.659,0.656,0.665,0.655,1361655.0
2024-12-30,0.655,0.658,0.66,0.651,1511565.0
2024-12-31,0.656,0.64,0.663,0.639,1672680.0
2025-01-02,0.64,0.624,0.642,0.619,1714204.0
2025-01-03,0.627,0.609,0.628,0.608,1426507.0
2025-01-06,0.608,0.611,0.619,0.605,1452386.0
2025-01-07,0.612,0.615,0.616,0.607,1177706.0
2025-01-08,0.613,0.614,0.619,0.601,1639037.0
2025-01-09,0.612,0.61,0.622,0.608,1114780.0
2025-01-10,0.61,0.591,0.611,0.59,1684080.0
2025-01-13,0.588,0.592,0.597,0.584,1147700.0
2025-01-14,0.593,0.611,0.613,0.59,2150686.0
2025-01-15,0.61,0.617,0.627,0.603,1959672.0
2025-01-16,0.615,0.624,0.63,0.615,1535900.0
2025-01-17,0.618,0.622,0.626,0.615,1247120.0
2025-01-20,0.624,0.625,0.631,0.622,1157836.0
2025-01-21,0.626,0.616,0.628,0.612,1006689.0
2025-01-22,0.615,0.608,0.616,0.603,1061525.0
2025-01-23,0.611,0.606,0.617,0.605,1365838.0
2025-01-24,0.604,0.615,0.617,0.601,2494736.0
2025-01-27,0.615,0.606,0.62,0.605,1092196.0
2025-02-05,0.607,0.605,0.612,0.599,1284200.0
2025-02-06,0.605,0.617,0.617,0.598,1775966.0
2025-02-07,0.617,0.642,0.648,0.614,3270985.0
2025-02-10,0.642,0.635,0.642,0.627,3035903.0
2025-02-11,0.634,0.623,0.635,0.619,2290997.0
2025-02-12,0.62,0.627,0.627,0.617,2071961.0
2025-02-13,0.625,0.62,0.627,0.619,2184749.0
2025-02-14,0.619,0.623,0.626,0.617,2130371.0
2025-02-17,0.624,0.628,0.628,0.62,2359080.0
2025-02-18,0.629,0.618,0.635,0.615,3139620.0
2025-02-19,0.614,0.626,0.626,0.612,2385464.0
2025-02-20,0.624,0.619,0.625,0.616,1954290.0
2025-02-21,0.62,0.624,0.624,0.614,2192840.0
2025-02-24,0.623,0.63,0.631,0.618,2406708.0
2025-02-25,0.624,0.631,0.635,0.621,2700158.0
2025-02-26,0.631,0.651,0.652,0.631,4486018.0
2025-02-27,0.651,0.643,0.651,0.634,3489999.0
2025-02-28,0.641,0.63,0.648,0.627,2804086.0
2025-03-03,0.63,0.633,0.644,0.628,2990932.0
2025-03-04,0.628,0.634,0.634,0.623,2226459.0
2025-03-05,0.632,0.624,0.633,0.618,2521758.0
2025-03-06,0.625,0.634,0.635,0.622,2846314.0
2025-03-07,0.631,0.63,0.636,0.623,2302374.0
2025-03-10,0.629,0.633,0.636,0.626,1958718.0
2025-03-11,0.627,0.633,0.634,0.622,1748621.0
2025-03-12,0.635,0.634,0.638,0.632,1870054.0
2025-03-13,0.634,0.628,0.636,0.624,1589596.0
2025-03-14,0.628,0.64,0.641,0.625,2771865.0
2025-03-17,0.642,0.643,0.65,0.641,2178744.0
2025-03-18,0.645,0.647,0.648,0.642,1700437.0
2025-03-19,0.646,0.643,0.65,0.638,1715325.0
2025-03-20,0.643,0.637,0.644,0.636,1314514.0
2025-03-21,0.636,0.63,0.64,0.627,2062130.0
2025-03-24,0.629,0.625,0.632,0.617,1844202.0
2025-03-25,0.626,0.631,0.637,0.625,1945930.0
2025-03-26,0.63,0.638,0.649,0.628,2705124.0
2025-03-27,0.636,0.63,0.637,0.627,1887906.0
2025-03-28,0.629,0.625,0.637,0.623,1494085.0
2025-03-31,0.623,0.606,0.623,0.601,2668278.0
2025-04-01,0.607,0.612,0.618,0.604,1647156.0
2025-04-02,0.61,0.611,0.615,0.608,811585.0
2025-04-03,0.604,0.599,0.608,0.596,2797656.0
2025-04-07,0.573,0.539,0.574,0.539,2563640.0
2025-04-08,0.53,0.53,0.54,0.523,2555054.0
2025-04-09,0.52,0.534,0.536,0.505,2140446.0
2025-04-10,0.548,0.548,0.556,0.545,2575626.0
2025-04-11,0.543,0.549,0.553,0.542,1379006.0
2025-04-14,0.555,0.552,0.559,0.551,1404894.0
2025-04-15,0.553,0.55,0.553,0.545,883982.0
2025-04-16,0.548,0.545,0.549,0.536,1077321.0
2025-04-17,0.542,0.544,0.548,0.541,1088445.0
2025-04-18,0.544,0.542,0.545,0.539,757444.0
2025-04-21,0.542,0.545,0.545,0.537,898944.0
2025-04-22,0.543,0.542,0.546,0.54,1112431.0
2025-04-23,0.545,0.546,0.551,0.542,1164834.0
2025-04-24,0.546,0.54,0.547,0.538,1054760.0
2025-04-25,0.541,0.544,0.547,0.539,1015457.0
2025-04-28,0.544,0.544,0.549,0.542,940288.0
2025-04-29,0.543,0.542,0.548,0.541,863333.0
2025-04-30,0.539,0.542,0.547,0.539,1160746.0
2025-05-06,0.543,0.555,0.555,0.543,1579856.0
2025-05-07,0.561,0.556,0.565,0.552,1479608.0
2025-05-08,0.554,0.564,0.567,0.553,1393332.0
2025-05-09,0.564,0.556,0.564,0.554,1005932.0
2025-05-12,0.56,0.572,0.573,0.56,2076653.0
2025-05-13,0.578,0.58,0.593,0.576,2850601.0
2025-05-14,0.576,0.575,0.578,0.568,1880656.0
2025-05-15,0.574,0.563,0.574,0.562,1406690.0
2025-05-16,0.562,0.565,0.568,0.56,904744.0
2025-05-19,0.564,0.564,0.565,0.557,801860.0
2025-05-20,0.564,0.564,0.564,0.558,859944.0
2025-05-21,0.563,0.563,0.566,0.562,631924.0
2025-05-22,0.562,0.556,0.564,0.555,896268.0
2025-05-23,0.555,0.549,0.559,0.548,1372606.0
2025-05-26,0.549,0.551,0.555,0.548,697605.0
2025-05-27,0.551,0.545,0.552,0.543,920924.0
2025-05-28,0.547,0.542,0.548,0.541,695333.0
2025-05-29,0.543,0.549,0.549,0.542,837363.0
2025-05-30,0.548,0.541,0.548,0.54,1081139.0
2025-06-03,0.538,0.539,0.541,0.537,1075971.0
2025-06-04,0.54,0.545,0.545,0.539,871802.0
2025-06-05,0.545,0.548,0.548,0.541,1051382.0
2025-06-06,0.548,0.546,0.549,0.544,687969.0
2025-06-09,0.547,0.553,0.553,0.545,1243021.0
2025-06-10,0.553,0.547,0.555,0.543,1274355.0
2025-06-11,0.547,0.552,0.556,0.546,1364134.0
2025-06-12,0.552,0.551,0.553,0.549,671133.0
2025-06-13,0.551,0.543,0.551,0.542,1229317.0
2025-06-16,0.542,0.546,0.548,0.541,758515.0
2025-06-17,0.546,0.545,0.548,0.542,682932.0
2025-06-18,0.544,0.548,0.55,0.544,1018012.0
2025-06-19,0.548,0.538,0.549,0.537,1442051.0
2025-06-20,0.54,0.54,0.549,0.538,1632905.0
