date,open,high,low,close,volume
2024-11-19,4.008,4.025,4.026,3.943,3136854.0
2024-11-20,4.012,4.033,4.051,4.005,2724494.0
2024-11-21,4.027,4.037,4.048,4.012,2498933.0
2024-11-22,4.034,3.913,4.04,3.908,3793583.0
2024-11-25,3.916,3.888,3.935,3.85,2479960.0
2024-11-26,3.875,3.884,3.92,3.874,1828207.0
2024-11-27,3.884,3.951,3.954,3.862,2590104.0
2024-11-28,3.947,3.918,3.953,3.911,2358645.0
2024-11-29,3.918,3.96,4.011,3.918,2843395.0
2024-12-02,3.962,3.993,4.006,3.95,2059049.0
2024-12-03,3.993,4.001,4.016,3.968,2120404.0
2024-12-04,3.992,3.976,4.006,3.966,2185245.0
2024-12-05,3.968,3.969,3.986,3.956,1255276.0
2024-12-06,3.974,4.023,4.05,3.969,2788556.0
2024-12-09,4.025,4.019,4.047,3.992,2646790.0
2024-12-10,4.146,4.048,4.165,4.04,3743071.0
2024-12-11,4.048,4.041,4.059,4.031,2764362.0
2024-12-12,4.042,4.081,4.086,4.033,3184439.0
2024-12-13,4.061,3.981,4.062,3.979,5036933.0
2024-12-16,3.984,3.961,3.989,3.946,1949761.0
2024-12-17,3.949,3.969,4.006,3.949,3168303.0
2024-12-18,3.987,3.988,4.002,3.978,1932120.0
2024-12-19,3.961,3.996,4.004,3.945,2058712.0
2024-12-20,3.99,3.982,4.007,3.973,5580090.0
2024-12-23,3.984,3.984,4.016,3.978,2421984.0
2024-12-24,3.986,4.036,4.043,3.985,2310481.0
2024-12-25,4.04,4.036,4.058,4.019,1894575.0
2024-12-26,4.036,4.041,4.044,4.019,2078770.0
2024-12-27,4.04,4.039,4.064,4.026,3103104.0
2024-12-30,4.039,4.055,4.063,4.034,3524736.0
2024-12-31,4.055,3.989,4.061,3.989,2366604.0
2025-01-02,3.981,3.865,3.988,3.842,2926757.0
2025-01-03,3.866,3.824,3.884,3.814,3504690.0
2025-01-06,3.824,3.811,3.835,3.788,3067699.0
2025-01-07,3.812,3.844,3.845,3.797,2027272.0
2025-01-08,3.831,3.832,3.862,3.775,3337708.0
2025-01-09,3.82,3.829,3.843,3.817,1926646.0
2025-01-10,3.829,3.781,3.838,3.781,1990254.0
2025-01-13,3.76,3.766,3.785,3.751,2057235.0
2025-01-14,3.779,3.867,3.879,3.767,2363655.0
2025-01-15,3.86,3.842,3.863,3.836,1107787.0
2025-01-16,3.859,3.845,3.895,3.82,1729849.0
2025-01-17,3.84,3.861,3.882,3.826,1628717.0
2025-01-20,3.881,3.876,3.911,3.869,1363264.0
2025-01-21,3.898,3.881,3.902,3.865,1278385.0
2025-01-22,3.877,3.844,3.879,3.827,1963445.0
2025-01-23,3.881,3.852,3.922,3.85,1866779.0
